date,n
2013-01-01,842
2013-01-02,943
2013-01-03,914
2013-01-04,915
2013-01-05,720
2013-01-06,832
2013-01-07,933
2013-01-08,899
2013-01-09,902
2013-01-10,932
2013-01-11,930
2013-01-12,690
2013-01-13,828
2013-01-14,928
2013-01-15,894
2013-01-16,901
2013-01-17,927
2013-01-18,924
2013-01-19,674
2013-01-20,786
2013-01-21,912
2013-01-22,890
2013-01-23,897
2013-01-24,925
2013-01-25,922
2013-01-26,680
2013-01-27,823
2013-01-28,923
2013-01-29,890
2013-01-30,900
2013-01-31,928
2013-10-01,965
2013-10-02,975
2013-10-03,995
2013-10-04,995
2013-10-05,687
2013-10-06,917
2013-10-07,994
2013-10-08,964
2013-10-09,974
2013-10-10,994
2013-10-11,991
2013-10-12,676
2013-10-13,902
2013-10-14,987
2013-10-15,963
2013-10-16,974
2013-10-17,995
2013-10-18,993
2013-10-19,684
2013-10-20,915
2013-10-21,991
2013-10-22,964
2013-10-23,975
2013-10-24,992
2013-10-25,989
2013-10-26,685
2013-10-27,910
2013-10-28,983
2013-10-29,965
2013-10-30,973
2013-10-31,922
2013-11-01,986
2013-11-02,689
2013-11-03,902
2013-11-04,978
2013-11-05,967
2013-11-06,973
2013-11-07,991
2013-11-08,986
2013-11-09,715
2013-11-10,895
2013-11-11,983
2013-11-12,973
2013-11-13,976
2013-11-14,988
2013-11-15,985
2013-11-16,714
2013-11-17,896
2013-11-18,985
2013-11-19,973
2013-11-20,977
2013-11-21,1000
2013-11-22,999
2013-11-23,744
2013-11-24,896
2013-11-25,942
2013-11-26,989
2013-11-27,1014
2013-11-28,634
2013-11-29,661
2013-11-30,857
2013-12-01,987
2013-12-02,1004
2013-12-03,973
2013-12-04,958
2013-12-05,969
2013-12-06,970
2013-12-07,691
2013-12-08,875
2013-12-09,962
2013-12-10,943
2013-12-11,954
2013-12-12,968
2013-12-13,970
2013-12-14,692
2013-12-15,880
2013-12-16,964
2013-12-17,949
2013-12-18,956
2013-12-19,974
2013-12-20,980
2013-12-21,811
2013-12-22,895
2013-12-23,985
2013-12-24,761
2013-12-25,719
2013-12-26,936
2013-12-27,963
2013-12-28,814
2013-12-29,888
2013-12-30,968
2013-12-31,776
2013-02-01,926
2013-02-02,682
2013-02-03,814
2013-02-04,932
2013-02-05,896
2013-02-06,901
2013-02-07,932
2013-02-08,930
2013-02-09,684
2013-02-10,829
2013-02-11,929
2013-02-12,893
2013-02-13,918
2013-02-14,956
2013-02-15,954
2013-02-16,738
2013-02-17,848
2013-02-18,948
2013-02-19,943
2013-02-20,949
2013-02-21,961
2013-02-22,957
2013-02-23,743
2013-02-24,880
2013-02-25,961
2013-02-26,938
2013-02-27,945
2013-02-28,964
2013-03-01,958
2013-03-02,765
2013-03-03,913
2013-03-04,977
2013-03-05,965
2013-03-06,972
2013-03-07,980
2013-03-08,979
2013-03-09,765
2013-03-10,908
2013-03-11,980
2013-03-12,966
2013-03-13,974
2013-03-14,982
2013-03-15,979
2013-03-16,767
2013-03-17,907
2013-03-18,981
2013-03-19,967
2013-03-20,970
2013-03-21,980
2013-03-22,977
2013-03-23,767
2013-03-24,905
2013-03-25,978
2013-03-26,973
2013-03-27,977
2013-03-28,982
2013-03-29,974
2013-03-30,769
2013-03-31,897
2013-04-01,970
2013-04-02,983
2013-04-03,992
2013-04-04,985
2013-04-05,981
2013-04-06,770
2013-04-07,911
2013-04-08,981
2013-04-09,975
2013-04-10,989
2013-04-11,992
2013-04-12,989
2013-04-13,770
2013-04-14,917
2013-04-15,995
2013-04-16,974
2013-04-17,988
2013-04-18,992
2013-04-19,988
2013-04-20,766
2013-04-21,919
2013-04-22,985
2013-04-23,965
2013-04-24,976
2013-04-25,983
2013-04-26,981
2013-04-27,757
2013-04-28,913
2013-04-29,983
2013-04-30,960
2013-05-01,964
2013-05-02,983
2013-05-03,978
2013-05-04,745
2013-05-05,912
2013-05-06,980
2013-05-07,955
2013-05-08,965
2013-05-09,981
2013-05-10,978
2013-05-11,738
2013-05-12,896
2013-05-13,979
2013-05-14,955
2013-05-15,967
2013-05-16,982
2013-05-17,980
2013-05-18,749
2013-05-19,911
2013-05-20,983
2013-05-21,962
2013-05-22,972
2013-05-23,988
2013-05-24,978
2013-05-25,728
2013-05-26,729
2013-05-27,928
2013-05-28,981
2013-05-29,974
2013-05-30,989
2013-05-31,986
2013-06-01,754
2013-06-02,911
2013-06-03,982
2013-06-04,960
2013-06-05,970
2013-06-06,976
2013-06-07,975
2013-06-08,779
2013-06-09,908
2013-06-10,987
2013-06-11,980
2013-06-12,983
2013-06-13,989
2013-06-14,989
2013-06-15,801
2013-06-16,918
2013-06-17,990
2013-06-18,982
2013-06-19,985
2013-06-20,995
2013-06-21,993
2013-06-22,812
2013-06-23,923
2013-06-24,994
2013-06-25,993
2013-06-26,995
2013-06-27,995
2013-06-28,994
2013-06-29,812
2013-06-30,918
2013-07-01,966
2013-07-02,945
2013-07-03,983
2013-07-04,737
2013-07-05,822
2013-07-06,805
2013-07-07,934
2013-07-08,1004
2013-07-09,1001
2013-07-10,1004
2013-07-11,1006
2013-07-12,1002
2013-07-13,811
2013-07-14,931
2013-07-15,999
2013-07-16,996
2013-07-17,1001
2013-07-18,1003
2013-07-19,999
2013-07-20,810
2013-07-21,929
2013-07-22,1000
2013-07-23,997
2013-07-24,1000
2013-07-25,1003
2013-07-26,999
2013-07-27,811
2013-07-28,930
2013-07-29,999
2013-07-30,997
2013-07-31,1001
2013-08-01,1000
2013-08-02,999
2013-08-03,809
2013-08-04,929
2013-08-05,1000
2013-08-06,996
2013-08-07,1001
2013-08-08,1001
2013-08-09,999
2013-08-10,807
2013-08-11,929
2013-08-12,1001
2013-08-13,995
2013-08-14,997
2013-08-15,1000
2013-08-16,998
2013-08-17,780
2013-08-18,914
2013-08-19,996
2013-08-20,986
2013-08-21,990
2013-08-22,990
2013-08-23,989
2013-08-24,774
2013-08-25,903
2013-08-26,982
2013-08-27,965
2013-08-28,973
2013-08-29,979
2013-08-30,965
2013-08-31,680
2013-09-01,718
2013-09-02,929
2013-09-03,956
2013-09-04,948
2013-09-05,969
2013-09-06,967
2013-09-07,688
2013-09-08,908
2013-09-09,991
2013-09-10,961
2013-09-11,947
2013-09-12,992
2013-09-13,996
2013-09-14,686
2013-09-15,900
2013-09-16,992
2013-09-17,961
2013-09-18,972
2013-09-19,992
2013-09-20,994
2013-09-21,693
2013-09-22,904
2013-09-23,993
2013-09-24,960
2013-09-25,976
2013-09-26,996
2013-09-27,996
2013-09-28,682
2013-09-29,914
2013-09-30,993
