date,n,day-of-week
2013-01-01,842,Tue
2013-01-02,943,Wed
2013-01-03,914,Thu
2013-01-04,915,Fri
2013-01-05,720,Sat
2013-01-06,832,Sun
2013-01-07,933,Mon
2013-01-08,899,Tue
2013-01-09,902,Wed
2013-01-10,932,Thu
2013-01-11,930,Fri
2013-01-12,690,Sat
2013-01-13,828,Sun
2013-01-14,928,Mon
2013-01-15,894,Tue
2013-01-16,901,Wed
2013-01-17,927,Thu
2013-01-18,924,Fri
2013-01-19,674,Sat
2013-01-20,786,Sun
2013-01-21,912,Mon
2013-01-22,890,Tue
2013-01-23,897,Wed
2013-01-24,925,Thu
2013-01-25,922,Fri
2013-01-26,680,Sat
2013-01-27,823,Sun
2013-01-28,923,Mon
2013-01-29,890,Tue
2013-01-30,900,Wed
2013-01-31,928,Thu
2013-10-01,965,Tue
2013-10-02,975,Wed
2013-10-03,995,Thu
2013-10-04,995,Fri
2013-10-05,687,Sat
2013-10-06,917,Sun
2013-10-07,994,Mon
2013-10-08,964,Tue
2013-10-09,974,Wed
2013-10-10,994,Thu
2013-10-11,991,Fri
2013-10-12,676,Sat
2013-10-13,902,Sun
2013-10-14,987,Mon
2013-10-15,963,Tue
2013-10-16,974,Wed
2013-10-17,995,Thu
2013-10-18,993,Fri
2013-10-19,684,Sat
2013-10-20,915,Sun
2013-10-21,991,Mon
2013-10-22,964,Tue
2013-10-23,975,Wed
2013-10-24,992,Thu
2013-10-25,989,Fri
2013-10-26,685,Sat
2013-10-27,910,Sun
2013-10-28,983,Mon
2013-10-29,965,Tue
2013-10-30,973,Wed
2013-10-31,922,Thu
2013-11-01,986,Fri
2013-11-02,689,Sat
2013-11-03,902,Sun
2013-11-04,978,Mon
2013-11-05,967,Tue
2013-11-06,973,Wed
2013-11-07,991,Thu
2013-11-08,986,Fri
2013-11-09,715,Sat
2013-11-10,895,Sun
2013-11-11,983,Mon
2013-11-12,973,Tue
2013-11-13,976,Wed
2013-11-14,988,Thu
2013-11-15,985,Fri
2013-11-16,714,Sat
2013-11-17,896,Sun
2013-11-18,985,Mon
2013-11-19,973,Tue
2013-11-20,977,Wed
2013-11-21,1000,Thu
2013-11-22,999,Fri
2013-11-23,744,Sat
2013-11-24,896,Sun
2013-11-25,942,Mon
